ROWTYPE_	LABELS	VARNAME_	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15
PROX    	ee  	VAR1    	0	0.967222392559052	0.974964380264282	1	0.950335800647736	0.984039306640625	0.99163168668747	1	1	1	1	0.988826453685761	0.983819782733917	0.972111105918884	0.904688656330109
PROX    	i   	VAR2    	0.967222392559052	0	0.988826453685761	0.966686606407166	0.871354877948761	0.99163168668747	1	1	1	1	0.987420916557312	0.988826453685761	0.99163168668747	0.892745494842529	0.957805454730988
PROX    	ac  	VAR3    	0.974964380264282	0.988826453685761	0	0.99163168668747	0.94684100151062	0.936622679233551	0.966475069522858	0.951377987861633	0.951433062553406	0.99163168668747	0.976387977600098	0.951919555664063	0.955167889595032	0.96357262134552	0.97100830078125
PROX    	ic  	VAR4    	1	0.966686606407166	0.99163168668747	0	0.971682369709015	0.987420916557312	0.983568668365479	0.984495162963867	0.984603703022003	1	0.942470848560333	0.955684721469879	0.984603703022003	0.986013352870941	1
PROX    	e   	VAR5    	0.950335800647736	0.871354877948761	0.94684100151062	0.971682369709015	0	0.533027112483978	0.907289743423462	0.90472012758255	0.905732274055481	0.988826453685761	0.958534240722656	0.920949578285217	0.491493314504623	0.904208302497864	0.974679410457611
PROX    	er  	VAR6    	0.984039306640625	0.99163168668747	0.936622679233551	0.987420916557312	0.533027112483978	0	0.880736470222473	0.855358481407166	0.868673443794251	0.959693312644959	0.934018909931183	0.734515488147736	0.50432151556015	0.937691748142242	0.94864696264267
PROX    	a   	VAR7    	0.99163168668747	1	0.966475069522858	0.983568668365479	0.907289743423462	0.880736470222473	0	0.585858881473541	0.597497582435608	0.99163168668747	0.937589526176453	0.947281897068024	0.702860116958618	0.988826453685761	1
PROX    	ah  	VAR8    	1	1	0.951377987861633	0.984495162963867	0.90472012758255	0.855358481407166	0.585858881473541	0	0.133627191185951	0.956710040569305	0.806956470012665	0.919139802455902	0.712613821029663	1	0.983192086219788
PROX    	aw  	VAR9    	1	1	0.951433062553406	0.984603703022003	0.905732274055481	0.868673443794251	0.597497582435608	0.133627191185951	0	0.984133362770081	0.84308397769928	0.937429964542389	0.715875327587128	1	1
PROX    	oh  	VAR10   	1	1	0.99163168668747	1	0.988826453685761	0.959693312644959	0.99163168668747	0.956710040569305	0.984133362770081	0	0.862313628196716	0.964365065097809	0.987420916557312	1	0.956020057201386
PROX    	ow  	VAR11   	1	0.987420916557312	0.976387977600098	0.942470848560333	0.958534240722656	0.934018909931183	0.937589526176453	0.806956470012665	0.84308397769928	0.862313628196716	0	0.918666362762451	0.917928397655487	1	0.967558860778809
PROX    	oy  	VAR12   	0.988826453685761	0.988826453685761	0.951919555664063	0.955684721469879	0.920949578285217	0.734515488147736	0.947281897068024	0.919139802455902	0.937429964542389	0.964365065097809	0.918666362762451	0	0.90922224521637	0.983192086219788	0.983192086219788
PROX    	uh  	VAR13   	0.983819782733917	0.99163168668747	0.955167889595032	0.984603703022003	0.491493314504623	0.50432151556015	0.702860116958618	0.712613821029663	0.715875327587128	0.987420916557312	0.917928397655487	0.90922224521637	0	0.954105615615845	0.983560502529144
PROX    	oo  	VAR14   	0.972111105918884	0.892745494842529	0.96357262134552	0.986013352870941	0.904208302497864	0.937691748142242	0.988826453685761	1	1	1	1	0.983192086219788	0.954105615615845	0	0.802539765834808
PROX    	ooc 	VAR15   	0.904688656330109	0.957805454730988	0.97100830078125	1	0.974679410457611	0.94864696264267	1	0.983192086219788	1	0.956020057201386	0.967558860778809	0.983192086219788	0.983560502529144	0.802539765834808	0
