1	10	11	0.362686	0	0	13
2	12	13	0.435171	0	0	13
3	9	21	0.479174	0	0	17
4	6	17	0.489394	0	0	6
5	4	5	0.507134	0	0	9
6	6	16	0.508667	4	0	7
7	6	7	0.539571	6	0	11
8	18	19	0.592676	0	0	18
9	4	22	0.597001	5	0	11
10	14	15	0.638426	0	0	18
11	4	6	0.667699	9	7	14
12	3	23	0.668636	0	0	19
13	10	12	0.690519	1	2	20
14	1	4	0.710507	0	11	15
15	1	2	0.751418	14	0	16
16	1	20	0.790963	15	0	19
17	8	9	0.791711	0	3	20
18	14	18	0.823287	10	8	21
19	1	3	0.832457	16	12	21
20	8	10	0.880842	17	13	22
21	1	14	0.88346	19	18	22
22	1	8	0.928513	21	20	0
