116	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3	0	53	62	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	32	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	88	29	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0	0	0	0	0	68	50	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	3	0	0	0	0	114	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	118	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	1	0	0	1	0	0	0	0	37	16	9	31	4	1	3	15	0	0	0	2	0	0
0	0	0	0	0	0	0	0	1	12	50	6	34	0	2	0	11	0	1	0	3	0	0
0	0	0	0	0	0	0	0	0	21	19	20	38	0	0	3	19	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	9	21	0	60	0	1	2	25	0	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	61	5	11	10	15	1	0	0	3	13
0	0	0	0	0	6	3	0	0	0	0	0	2	1	43	6	18	7	33	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	4	6	16	48	45	1	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	4	2	8	15	90	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	54	8	2	2	30	22
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	4	110	0	1	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	109	10	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	119	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	58	57
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	109
