1	6	7	0.175572	0	0	7
2	4	5	0.414301	0	0	10
3	12	13	0.447809	0	0	8
4	16	17	0.459341	0	0	11
5	10	11	0.481332	0	0	8
6	14	15	0.709714	0	0	15
7	6	22	0.722401	1	0	13
8	10	12	0.732195	5	3	12
9	18	19	0.75033	0	0	15
10	1	4	0.799245	0	2	14
11	16	20	0.806167	4	0	17
12	10	23	0.839317	8	0	16
13	6	21	0.856982	7	0	18
14	1	2	0.877884	10	0	19
15	14	18	0.890853	6	9	21
16	3	10	0.892878	0	12	19
17	8	16	0.903084	0	11	20
18	6	9	0.913348	13	0	20
19	1	3	0.947108	14	16	21
20	6	8	0.953185	18	17	22
21	1	14	0.966648	19	15	22
22	1	6	0.980017	21	20	0
