1	6	7	0.234044	0	0	12
2	4	5	0.247444	0	0	13
3	10	12	0.281544	0	0	4
4	10	11	0.364793	3	0	5
5	10	13	0.38599	4	0	8
6	16	17	0.402867	0	0	10
7	22	23	0.475094	0	0	9
8	10	15	0.58105	5	0	11
9	18	22	0.61441	0	7	15
10	14	16	0.645377	0	6	14
11	10	19	0.689224	8	0	14
12	6	20	0.739174	1	0	18
13	2	4	0.739491	0	2	20
14	10	14	0.76292	11	10	16
15	1	18	0.793543	0	9	20
16	10	21	0.809051	14	0	17
17	9	10	0.843066	0	16	19
18	6	8	0.868542	12	0	21
19	3	9	0.869222	0	17	21
20	1	2	0.90167	15	13	22
21	3	6	0.916988	19	18	22
22	1	3	0.94804	20	21	0
