17	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	4	15	80
1	104	2	1	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
3	58	0	8	12	1	1	2	0	0	1	0	0	0	8	0	3	1	1	0	5	4	12
2	5	1	5	23	3	3	18	12	0	0	0	0	0	10	1	4	2	11	0	7	5	8
5	31	0	4	17	0	3	14	0	2	1	0	1	1	12	2	1	2	3	2	5	4	10
0	8	5	0	16	2	2	54	16	1	2	0	1	2	3	2	1	1	1	0	3	0	0
1	0	1	0	0	2	1	45	37	1	0	1	3	0	0	0	3	0	0	0	25	0	0
0	1	0	0	0	0	0	1	111	0	1	0	0	0	0	0	0	0	5	0	1	0	0
5	9	0	4	17	3	5	21	3	1	0	1	1	3	12	3	5	5	11	1	3	3	4
0	1	2	2	5	0	2	54	0	0	1	0	1	0	16	5	8	1	11	3	4	4	0
2	13	1	4	5	0	0	41	1	0	1	1	1	1	18	8	11	2	3	0	6	0	1
0	0	0	0	6	0	1	82	2	0	3	1	1	1	0	1	12	0	7	0	3	0	0
14	1	0	0	0	0	0	2	1	4	1	0	1	3	1	1	1	9	2	0	4	16	59
3	16	0	3	11	5	2	32	2	3	1	1	1	0	18	3	4	1	12	0	1	0	1
2	17	2	6	12	2	2	17	0	0	1	2	2	0	9	5	6	2	16	0	6	5	6
0	5	2	0	6	3	2	54	6	0	0	0	3	1	6	3	15	2	6	2	4	0	0
1	0	0	0	0	0	1	2	1	1	1	1	0	2	0	0	2	15	2	2	7	20	62
0	0	1	1	4	3	0	30	1	1	1	1	3	0	11	1	2	5	45	1	3	3	3
0	0	58	0	2	0	0	9	2	0	2	0	2	0	0	0	0	0	0	37	8	0	0
0	0	7	0	0	1	1	3	3	1	0	0	2	1	0	0	0	0	2	0	99	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	40	76
0	0	0	1	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	3	4	107
